Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
ACBD4,38.39529565570481,-0.49575314885100386,0.44943876415708806,-1.1030493771065284,0.27000572289118796,0.4233677733012543,Sarcoidosis_vs_Control,ACBD4
ACBD5,250.93139570486036,-0.4800783034344829,0.20974193197425323,-2.288899977775616,0.022085164561950945,0.06837557256590847,Sarcoidosis_vs_Control,ACBD5
ACBD6,442.1691106954342,1.3290388824344246,0.41713864710454207,3.186084271164031,0.0014421258395390835,0.00809483663685588,Sarcoidosis_vs_Control,ACBD6
ACBD7,2.7286477228034403,0.27088964470956073,1.3341886578979725,0.2030369866405176,0.8391061230901825,,Sarcoidosis_vs_Control,ACBD7
ASIC2,0.0,,,,,,Sarcoidosis_vs_Control,ASIC2
ASIC1,0.9449933431464496,-1.854511535771986,3.7008693461383473,-0.5011015959553033,0.6162996237076821,,Sarcoidosis_vs_Control,ASIC1
ASIC3,5.4873093241273825,-1.8420526458340059,1.6495457288639326,-1.1167029889511797,0.2641213394473584,,Sarcoidosis_vs_Control,ASIC3
ASIC5,0.1725684916993635,0.16714393558350538,5.89650794495686,0.028346258013009128,0.9773859868476786,,Sarcoidosis_vs_Control,ASIC5
ACCS,29.486931120319014,-2.2933772683330425,0.9899229664697006,-2.3167229633147803,0.020518827845755927,0.06469735439186954,Sarcoidosis_vs_Control,ACCS
ACCSL,3.6124531409252185,-0.09515961996752743,1.3380842397855373,-0.07111631475666975,0.9433051837485121,,Sarcoidosis_vs_Control,ACCSL
ACD,42.95281205614865,-0.357006046389738,0.456770497136896,-0.7815873587009315,0.43445711844415946,0.5848720277874385,Sarcoidosis_vs_Control,ACD
ACE,7.395172773233229,-2.262253169543186,1.5293605627813114,-1.4792150553621106,0.1390828470225158,,Sarcoidosis_vs_Control,ACE
ACE2,0.0,,,,,,Sarcoidosis_vs_Control,ACE2
ACER1,4.035172709173627,-1.3492477604015278,1.672654752881942,-0.8066504806666216,0.419867881350491,,Sarcoidosis_vs_Control,ACER1
ACER2,153.62705857468228,0.7830023338373638,0.4446868033629553,1.7607950762556672,0.0782730935216018,0.17521520446658928,Sarcoidosis_vs_Control,ACER2
ACER3,96.39648358545165,0.697948285452964,0.36043241820513555,1.9364192847263133,0.052816369446982335,0.1304575882532903,Sarcoidosis_vs_Control,ACER3
ACHE,9.300587211600796,0.7581838211722208,0.9451215510370605,0.8022077375553259,0.4224328012884647,,Sarcoidosis_vs_Control,ACHE
ACIN1,585.3647102109193,-0.29803752002555095,0.24219442958702023,-1.2305713245913708,0.218483235620351,0.36589090500584304,Sarcoidosis_vs_Control,ACIN1
ACLY,405.92684806002455,-0.2165889241523277,0.20222266410661272,-1.071041790044567,0.28415063966147835,0.4383017792427942,Sarcoidosis_vs_Control,ACLY
ACMSD,0.0,,,,,,Sarcoidosis_vs_Control,ACMSD
ACN9,125.71186991969732,-0.7367461488924787,0.3536654102078496,-2.08317276054645,0.037235479065292856,0.1008912716302041,Sarcoidosis_vs_Control,ACN9
ACO1,42.14444212069282,0.4994407374827119,0.34713383994513464,1.4387555461652768,0.15021979542531877,0.28102137680705447,Sarcoidosis_vs_Control,ACO1
ACO2,378.32697177753965,0.0660815538304919,0.26335366415960726,0.25092323678641787,0.801873458665794,0.8753304366455087,Sarcoidosis_vs_Control,ACO2
ACOT11,7.0420044784923945,0.5482218539006929,0.81202154803893,0.6751321504025039,0.49959180899570843,,Sarcoidosis_vs_Control,ACOT11
ACOT12,0.43194941512832613,-0.7596995175523302,4.5059188501182845,-0.1686003549603179,0.8661110013416733,,Sarcoidosis_vs_Control,ACOT12
ACOT13,86.3020478637177,-0.6875921629506291,0.35133690099291626,-1.9570735695778578,0.05033881935552494,0.1260896115452013,Sarcoidosis_vs_Control,ACOT13
ACOT2,11.471625152812235,-1.9095330366681078,1.147734114688545,-1.6637416386166135,0.09616407137231364,0.20291176368523656,Sarcoidosis_vs_Control,ACOT2
ACOT4,7.090989585205543,-1.1878971161706502,1.2132819449892722,-0.9790775516577505,0.32754166247628647,,Sarcoidosis_vs_Control,ACOT4
ACOT6,0.07898421128914049,0.4877380483346433,5.954393187957517,0.08191230120998237,0.934716452362472,,Sarcoidosis_vs_Control,ACOT6
