Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
PROKR1,0.0765887836342836,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,PROKR1
PROKR2,2.070999441890353,-2.879534134226176,3.939840785519753,-0.7308757614798642,0.46485504232245034,,Sarcoidosis_vs_Control,PROKR2
PROL1,0.0765887836342836,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,PROL1
PROM1,1.8504969022109605,1.0224671966239027,1.7083206582139425,0.5985218241714042,0.5494918012355223,,Sarcoidosis_vs_Control,PROM1
PROM2,13.169316727238282,-1.0790313701142444,0.9791854042091744,-1.101968396869344,0.2704754111851738,0.42369226220625067,Sarcoidosis_vs_Control,PROM2
PROP1,0.0,,,,,,Sarcoidosis_vs_Control,PROP1
PROS1,90.28055380748347,0.6777824807643584,0.632212758280329,1.07207972614786,0.28368422413283423,0.4378551437043908,Sarcoidosis_vs_Control,PROS1
PROSAPIP1,4.739773864198538,-0.6109917447945709,1.4114416960088862,-0.4328848627061702,0.6650984175603465,,Sarcoidosis_vs_Control,PROSAPIP1
PROSC,408.95055535667353,0.3548174009754017,0.17033724735784456,2.0830288529319794,0.037248593659769014,0.1008959269772633,Sarcoidosis_vs_Control,PROSC
PROSER1,360.47406144209134,0.8758088957344823,0.21755825523196598,4.025629341440862,5.682313624375932e-05,0.0005587278413933407,Sarcoidosis_vs_Control,PROSER1
PROX1,3.5404924594335254,6.611167421480697,1.321942308220802,5.00110131914807,5.700374387912681e-07,,Sarcoidosis_vs_Control,PROX1
PROX2,0.5689172685571176,4.515382399428228,3.2159410210057753,1.404062565182261,0.16030021970689246,,Sarcoidosis_vs_Control,PROX2
PROZ,0.6905436037533994,-1.3970939627371612,3.7565470309890627,-0.3719090833182834,0.7099605419628146,,Sarcoidosis_vs_Control,PROZ
PRPF18,136.41048432928832,0.4237116063720985,0.3362928169224538,1.2599484290198286,0.20768796668240364,0.3536247807408227,Sarcoidosis_vs_Control,PRPF18
PRPF19,235.99971510032407,-0.7521150695620253,0.39184775535149063,-1.9194063492525866,0.05493292803411335,0.13453740326514896,Sarcoidosis_vs_Control,PRPF19
PRPF3,8.666710875090343,-0.4538719975611131,0.9271559971372894,-0.489531426170461,0.6244655113252638,,Sarcoidosis_vs_Control,PRPF3
PRPF31,173.28077266005067,-0.23781160229563084,0.3047587575834975,-0.7803273782230047,0.4351982016606818,0.5855903326195943,Sarcoidosis_vs_Control,PRPF31
PRPF38A,326.6928455354542,-0.844150378108958,0.20075581891424288,-4.204861321950299,2.6124228652026176e-05,0.0002885423610803048,Sarcoidosis_vs_Control,PRPF38A
PRPF38B,445.8117232426004,-0.7174291376085233,0.21534338709677683,-3.3315587131826137,0.0008636108044594993,0.005371040639525525,Sarcoidosis_vs_Control,PRPF38B
PRPF39,130.68600548095816,0.31297969836465406,0.2391424411231105,1.3087584825795606,0.19061617450747304,0.3319974352477018,Sarcoidosis_vs_Control,PRPF39
PRPF4,58.39330519864766,0.4599324630730183,0.3283932497872298,1.40055394978738,0.16134749978748342,0.29494584252649597,Sarcoidosis_vs_Control,PRPF4
PRPF40A,385.9952904392244,0.1977452598663734,0.2061311651716344,0.959317625268947,0.3373987588982351,0.49244339157528805,Sarcoidosis_vs_Control,PRPF40A
PRPF40B,15.400377039692433,-0.47390113155082936,0.6556550953178921,-0.7227902824747515,0.46980873839329207,0.6170818057928183,Sarcoidosis_vs_Control,PRPF40B
